messages	label	predictions
"[{'role': 'user', 'content': ""This is an English to Tamil translation, please provide the Tamil translation for this sentence:\nEnglish: Karno is a well-known but controversial English tutor who taught under Modern Education and King's Glory who claimed to have 9,000 students at the peak of his career.\nTamil: கர்னோ ஒரு நன்கு அறியப்பட்ட ஆனால் சர்ச்சைக்குரிய ஆங்கில ஆசிரியர், நவீன கல்வி மற்றும் கிங்'ஸ் குளோரியின் கீழ் பயிற்றுவித்த அவர் தனது தொழில் வாழ்க்கையின் உச்சத்தில் 9,000 மாணவர்கள் வரை இருந்ததாகக் கூறியுள்ளார்.\nPlease provide the translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: The 30-year-old husband, who was born in Buffalo, was one of the four killed in the shooting, but his wife was not hurt.\nTamil:""}]"	பஃபலோவில் பிறந்த, 30 வயதான கணவர், கொல்லப்பட்ட நான்கு (four) பேர்களில் ஒருவர் (one) ஆவார். ஆனால் அவரது மனைவிக்கு காயம் ஏதும் இல்லை.	30 வயது கணவன், பப்பலோவில் பிறந்தவன் ஆகின்றார், ஆனால் அவனுடைய மனைவி பாதிக்கப்படவில்லை.
[{'role': 'user', 'content': 'This is an English to Tamil translation, please provide the Tamil translation for this sentence:\nEnglish: At its peak, Tropical Cyclone Gonu, named for a bag of palm leaves in the language of the Maldives, reached sustained winds of 240 kilometers an hour (149 miles per hour) .\nTamil: மாலத்தீவின் மொழியில் ஒரு பனையோலைக் கட்டைக் குறிக்கும் வகையில் பெயரிடப்பட்ட வெப்பமண்டல சூறாவளியான கோனு உச்சத்தில் இருக்கும் போது ஒரு மணிநேரத்திற்கு 240 கிலோமீட்டர் (மணிக்கு 149 மைல்) வேகத்தில் காற்று வீசியது.\nPlease provide the translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Many tickets sold online through auction websites such as eBay or Craigslist are partially used multi-day park-hopper tickets.\nTamil:'}]	ஈபே அல்லது கிரெய்க்ஸ்லிஸ்ட் போன்ற ஏல வலைத்தளங்கள் மூலம் ஆன்லைனில் விற்கப்படும் பல டிக்கெட்டுகள் ஓரளவு மல்டி-டே பார்க்-ஹாப்பர் டிக்கெட்டுகளைப் பயன்படுத்துகின்றன.	பல டிக்கெட்கள் ஆன்லைனில் விற்கப்படுகின்றன, பொதுவாக eBay அல்லது Craigslist போன்ற விலையைக் கொண்ட வலைத்தளங்களில் முழுமையான பயன்பாட்டு நாட்களாக பார்க்-ஹாப்பர் டிக்கெட்கள்.
[{'role': 'user', 'content': 'This is an English to Tamil translation, please provide the Tamil translation for this sentence:\nEnglish: On October 7 an engine separated on takeoff, without injuries. Russia briefly grounded Il-76s after that accident.\nTamil: அக்டோபர் ஏழாம் நாள் காயங்கள் ஏதும் இன்றி  புறப்படும் போது, ஒரு என்ஜின் பிரிக்கப்பட்டது. ரஷ்யா அந்த விபத்திற்கு பின் II-76 s யை சீக்கிரமாக தரை இறங்கியது.\nPlease provide the translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: On Monday, scientists from the Stanford University School of Medicine announced the invention of a new diagnostic tool that can sort cells by type: a tiny printable chip that can be manufactured using standard inkjet printers for possibly about one U.S. cent each.\nTamil:'}]	திங்களன்று, ஸ்டான்போர்ட் யுனிவர்சிட்டி ஸ்கூல் ஆஃப் மெடிசின் விஞ்ஞானிகள் ஒரு புதிய நோயறிதல் கருவியின் கண்டுபிடிப்பை அறிவித்தனர், இது செல்களை வகைப்படி வரிசைப்படுத்தலாம்: ஒரு சிறிய அச்சிடக்கூடிய சில்லு, தரமான இன்க்ஜெட் அச்சுப்பொறிகளைப் பயன்படுத்தி ஒவ்வொன்றும் 1 யு.எஸ்.	
[{'role': 'user', 'content': 'This is an English to Tamil translation, please provide the Tamil translation for this sentence:\nEnglish: Nigeria previously announced it planned to join the AfCFTA in the week leading up to the summit.\nTamil: உச்சிமாநாட்டிற்கு முந்தைய வாரத்தில் AfCFTA வுடன் சேரத் திட்டமிட்டதாக நைஜீரியா முன்னரே அறிவித்திருந்தது.\nPlease provide the translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: The disadvantage of zoom lenses is that the focal complexity and number of lens elements required to achieve a range of focal lengths is much greater than for prime lenses.\nTamil:'}]	உரு பெரிதாக்கும் வில்லைகளின் குறை என்னவென்றால், குவிய நீள வரம்பை அடைய தேவையான குவிய சிக்கல் தன்மை மற்றும் வில்லை கூறுகளின் எண்ணிக்கை நிலையான வில்லைகளுக்கு இருப்பதை விட மிக அதிகம்.	ஜூம் லென்ஸின் மாறுபட்டுக் கண்ணாடிகளின் மாறுபட்டு மற்றும் கண்ணாடிகளின் எண்ணிக்கை பெரியது என்பது பிரைம் லென்ஸ்களுக்கு மிகுந்தது.
[{'role': 'user', 'content': 'This is an English to Tamil translation, please provide the Tamil translation for this sentence:\nEnglish: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south.\nTamil: துருக்கியின் மூன்று பக்கங்களும் கடல்களால் சூழப்பட்டுள்ளது: மேற்கில் ஏஜியன் கடல், வடக்கில் கருங்கடல் மற்றும் தெற்கில் மத்திய தரைக்கடல்.\nPlease provide the translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: If you get hurt trying to help, you may only serve to make matters worse.\nTamil:'}]	உதவி செய்ய முயற்சிக்கும்போது உங்களுக்கு காயம் ஏற்பட்டால், விஷயங்களை மோசமாக்குவதற்கு மட்டுமே நீங்கள் மீண்டும் சேவை செய்யலாம்.	உங்கள் உதவியை முயற்சிக்கும் போது பாதிக்கப்பட்டால், பிரச்சினைகளை மேலும் மேலும் தீர்க்க மட்டுமே பணிகளை மேற்கொள்ளும்.
"[{'role': 'user', 'content': 'This is an English to Tamil translation, please provide the Tamil translation for this sentence:\nEnglish: According to Ansa, ""police were concerned by a couple of top-level hits they feared might spark a full-blown war of succession.\nTamil: ""அன்சாவின் கூற்றுப்படி, """"ஒரு முழு-வெற்றியான வாரிசு போரைத் தூண்டிவிடக்கூடும் என்று அஞ்சி, சில உயர்ந்த வெற்றிகளால் போலீசார் கவலையடைந்தனர்.""\nPlease provide the translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Lead researchers say this may bring early detection of cancer, tuberculosis, HIV and malaria to patients in low-income countries, where the survival rates for illnesses such as breast cancer can be half those of richer countries.\nTamil:'}]"	இது குறைந்த வருமானம் ஈட்டும் நாடுகளில் உள்ள நோயாளிகளுக்கு புற்றுநோய், காசநோய், எச்.ஐ.வி மற்றும் மலேரியாவை முன்கூட்டியே கண்டறியும் என்று முன்னணி ஆராய்ச்சியாளர்கள் கூறுகின்றனர், மார்பக புற்றுநோய் போன்ற நோய்களுக்கான உயிர்வாழ்வு விகிதங்கள் பணக்கார நாடுகளில் பாதியாக இருக்கலாம்.	முதன்முதலில் ஆராய்ச்சியாளர்கள் கூறுகள் இது பாதுகாப்பாக நீங்கள் குறைந்த வருகின்ற நாடுகளில் புற்றுநோய்களை முன்னெடுக்க முடியும் என்று கூறுகின்றனர். இது பெரிய நாடுகளின் பெரும்பாலான நாடுகளுக்கு மேலும் மார்க்கம் ஆகிவிடும் என்பதால், மார்க்கம் புற்றுநோய்களுக்கும் பாதுகாப்பு நிலைகளுக்கும் அதிகமாக அமைக்கலாம்.
"[{'role': 'user', 'content': ""This is an English to Tamil translation, please provide the Tamil translation for this sentence:\nEnglish: Stark's men took positions along the fence on the north end of the Colonist's position.\nTamil: ஸ்டார்க்கின் வீரர்கள் காலனிக்காரர்களின் நிலையின் வடக்குப்புற வேலியை ஒட்டி நிலை கொண்டனர்.\nPlease provide the translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Canyoning (or: canyoneering) is about going in a bottom of a canyon, which is either dry or full of water.\nTamil:""}]"	உலர்ந்தோ அல்லது முழுவதும் நீரால் நிரம்பியோ இருக்கும் செங்குத்து பள்ளத்தாக்கின் அடிப்பகுதிக்குள் செல்வதே கேன்யோனிங் (அல்லது கேன்யோநியரிங்).	கேன்யானிங் (அல்லது: கேன்யனியீரிங்) ஒரு கேன்யானின் அடியில் செல்லும் பறவையின் பகுதியில் அல்லது நீருடன் நிலையான பறவையில் பறக்கும் பற்றி உள்ளது.
[{'role': 'user', 'content': 'This is an English to Tamil translation, please provide the Tamil translation for this sentence:\nEnglish: If you want to learn throwing a boomerang that comes back to your hand, make sure you have a suitable boomerang for returning.\nTamil: நீங்கள் ஒரு குறுந்தடியை வீசியடிக்கும் போது மீண்டும் உங்கள் கைக்கே திரும்பி வருமாறு செய்வதற்கு கற்றுக் கொள்ள விரும்பினால், அதற்கு பொருத்தமான குறுந்தடி உங்களிடம் இருக்க வேண்டும் என்பதை நீங்கள் உறுதி செய்யவும்.\nPlease provide the translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: One of the most prominent apps in this category is Google Translate, which allows offline translation after downloading the desired language data.\nTamil:'}]	இந்த வகையின் மிக பிரதானமான பயன்பாடுகளில் ஒன்று Google மொழிபெயர்ப்பாகும், விரும்பிய மொழித் தரவைப் பதிவிறக்கிய பிறகு ஆஃப்லைன் மொழிபெயர்ப்பை அனுமதிக்கிறது.	இந்த வகையில் மிகவும் முக்கியமான ஒரு பயன்பாட்டு கூகுள் மொழிபெயர்ப்பு ஆப்பு, விரும்பிய மொழி தரவை பதிவிறக்கம் செய்த பின்னர் ஆஃப்லைன் மொழிபெயர்ப்பை அனுமதிக்கின்றது.
"[{'role': 'user', 'content': ""This is an English to Tamil translation, please provide the Tamil translation for this sentence:\nEnglish: Thus the scourges of Delhi Belly, the Pharaoh's Curse, Montezuma's Revenge, and their many friends.\nTamil: டெல்லி பெல்லி துன்பங்கள், பாரோவின் சாபம், மாண்டெசுமாவின் பழிவாங்கல் மற்றும் அவர்களின் பல நண்பர்கள்.\nPlease provide the translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: The JAS 39C Gripen crashed onto a runway at around 9:30 am local time (0230 UTC) and exploded, closing the airport to commercial flights.\nTamil:""}]"	JAS 39C க்ரப்பென் விமானம் உள்ளூர் நேரம் 9:30 AM (0230 UTC) க்கு ஓடுபாதையில் விழுந்து வெடித்தது, அதனால் வணிக விமானங்களுக்கு விமான நிலையம் மூடப்பட்டது.	மாடல்தேர்வு நேரத்தில் (0230 யூடிசி) மாலை 9:30 மணிக்கு பொது நேரத்தில் JAS 39C கிரிபென் விமானம் ஒரு வாயிலில் அழிந்து விட்டது, மற்றும் வண்டி விமான பயணங்களுக்கு வலம் மூடியது.
"[{'role': 'user', 'content': 'This is an English to Tamil translation, please provide the Tamil translation for this sentence:\nEnglish: This is because electricity flowing into the socket where the metallic part of bulb sits can give you a severe electric shock if you touch the inside of the socket or the metal base of the bulb while it is still partly in the socket.\nTamil: ஏனென்றால், விளக்கின் உலோகப் பகுதி அமைந்திருக்கும் சாக்கெட்டில் மின்சாரம் பாய்கிறது, நீங்கள் சாக்கெட்டின் உட்புறத்தையோ அல்லது விளக்கின் உலோகத் தளத்தையோ தொட்டால் அது கடுமையான எலக்ட்ரிக் ஷாக்கை அளிக்கும்.\nPlease provide the translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: ""Luckily nothing happened to me, but I saw a macabre scene, as people tried to break windows in order to get out.\nTamil:'}]"	"""""""அதிர்ஷ்டவசமாக எனக்கு எதுவும் நடக்கவில்லை, ஆனால் மக்கள் வெளியேறுவதற்காக ஜன்னல்களை உடைக்க முயற்சி செய்துகொண்டிருந்த ஒரு கொடூரமான காட்சியைக் கண்டேன்."""	எனக்கு எதுவும் நடந்ததில்லை என்று அதிர்வைப் பெற்றேன், ஆனால் மகாப்ரே நிலையைப் பார்த்தேன், மக்கள் வெளியே வெளிப்படையத்தை தடுக்க செய்து சென்றனர்.
