messages	label	predictions
[{'role': 'user', 'content': 'This is an English to Tamil translation, please provide the Tamil translation for this sentence:\nEnglish: Many governments require visitors entering, or residents leaving, their countries to be vaccinated for a range of diseases.\nTamil: பல அரசாங்கங்களில் வருகையாளர்கள் நுழையும் போது அல்லது குடியிறுப்பாளர்கள் வெளியேறும் போது பல்வேறு வகையான நோய் தடுப்பூசிகளை தங்கள் நாடுகளில் போட வேண்டும்.\nPlease provide the translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: He joined them in 1945 and stayed until 1958.\nTamil:'}]	அவர் அவர்களுடன் 1945-ஆம் ஆண்டில் சேர்ந்தார், 1958-ஆம் ஆண்டு வரை அவர்களுடன் இருந்தார்.	அவர் 1945 இல் அவர்களுடன் சேர்ந்து 1958 வரை இருந்தார்.
[{'role': 'user', 'content': 'This is an English to Tamil translation, please provide the Tamil translation for this sentence:\nEnglish: This is the first time a conviction has been gained using the legislation enacted in 2003 to curb bulk e-mail, aka spam, from unsolicited distribution into users mailboxes.\nTamil: பயனர்களின் மின்னஞ்சல் பெட்டிகளில் அடையாளம் தெரியாத அஞ்சல் வரவுகள், குவியும் மின்னஞ்சல், அல்லது ஸ்பேம் ஆகியவற்றைக் கட்டுப்படுத்துவதற்கு, 2003-ஆம் ஆண்டில் இயற்றப்பட்ட சட்டத்தைப் பயன்படுத்தி ஒரு தண்டனை அளிக்கப்படுவது இதுவே முதல் முறை.\nPlease provide the translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: The very long days in the summer can lead to problems getting sufficient sleep and associated health issues.\nTamil:'}]	கோடை காலத்தில் மிக நீண்ட நாட்கள் போதிய தூக்கம் இல்லாததால் உடல் நிலையில் பிரச்சினைகளுக்கு வழிவகுக்கும்.	கோடைகாலத்தில் மிகவும் நீண்ட நாட்கள் போகலாம், அதனால் போதுமான தூக்கம் கிடைக்காது மற்றும் தொடர்புடைய சுகாதார பிரச்சனைகள் ஏற்படுகின்றன.
[{'role': 'user', 'content': 'This is an English to Tamil translation, please provide the Tamil translation for this sentence:\nEnglish: Its remnants produced showers across most of the islands, though as of yet, no damage or flooding has been reported.\nTamil: அதனுடைய எச்சங்கள் பெரும்பாலான தீவுகளில் மழையாக பெய்தன, இருப்பினும் இதுவரை எந்த சேதமோ வெள்ளமோ ஏற்படவில்லை.\nPlease provide the translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Typical for Norway are steep fjords and valleys that suddenly give way to a high, more or less even plateau.\nTamil:'}]	நார்வேவில் குறிப்பிடத்தக்கது திடீரென்று உயர்ந்த, ஏறக்குறைய சமமான பீடபூமிக்கு வழிவகுக்கும் செங்குத்தான மலைப்பாறைகளுக்கு இடையேயுள்ள கடல் நுழைவழி மற்றும் பள்ளத்தாக்குகள் ஆகும்.	நார்வேயின் பொதுவான படிப்புகள் உயர்ந்த பிஜோர்டுகளும் பள்ளங்களும் ஆகும், அவை ஒரு உயரமான, மேலும் அல்லது சிறிய பிரதேசத்திற்கு ஒரு உயரப்பட்ட பருத்தி போன்றவை ஆகும்.
[{'role': 'user', 'content': 'This is an English to Tamil translation, please provide the Tamil translation for this sentence:\nEnglish: Even the hottest of deserts can become extremely cold at night. Hypothermia is a real risk without warm clothing.\nTamil: மிகவும் வெப்பமான பாலைவனங்கள் கூட இரவில் கடுமையாக குளிரலாம். உடல்வெப்பக்குறைபாடு என்பது உடலை சூடாக வைத்திருக்கும் உடைகள் இல்லாவிட்டால்  பெரிய ஆபத்து ஆகும்.\nPlease provide the translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Local media reports an airport fire vehicle rolled over while responding.\nTamil:'}]	தீயை அணைக்கச் சென்ற விமான நிலைய தீயணைப்பு வாகனம் கவிழ்ந்ததாக உள்ளூர் செய்தி நிறுவனங்கள் தெரிவித்தன.	உள்ளூர் மீடியா ஒரு விமான நிலைய போக்குக்கு பதிலளித்த ஒரு தீ வாகனம் தலைகீழாகி விட்டது.
[{'role': 'user', 'content': 'This is an English to Tamil translation, please provide the Tamil translation for this sentence:\nEnglish: In third, Hamlin is twenty points behind, but five ahead of Bowyer. Kahne and Truex, Jr. are fifth and sixth respectively with 2,220 and 2,207 points.\nTamil: மூன்றாவது இடத்தில், ஹாம்லின் இருபது புள்ளிகள் பின்தங்கியும், போயரை விட ஐந்து முன்னிலையிலும் உள்ளார். கஹ்னே மற்றும் ட்ரூயெக்ஸ், ஜூனியர் முறையே 2,220 மற்றும் 2,207 புள்ளிகளுடன் ஐந்தாவது மற்றும் ஆறாவது இடத்தில் உள்ளனர்.\nPlease provide the translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: 28-year-old Vidal had joined Barça three seasons ago, from Sevilla.\nTamil:'}]	28 வயதான விடல் மூன்று பருவங்களுக்கு முன்பாக, செவில்லாவில் இருந்து பார்காவில் சேர்ந்தார்.	28 வயது விடால் மூன்று போக்குகளுக்கு முன்னான செவில்லாவிலிருந்து பார்சாவில் சேர்ந்தார்.
"[{'role': 'user', 'content': ""This is an English to Tamil translation, please provide the Tamil translation for this sentence:\nEnglish: Vautier's achievements outside of directing include a hunger strike in 1973 against what he viewed as political censorship.\nTamil: இயக்குவதைத் தவிர வாடியேவின்  சாதனைகளில், 1973 ஆம் ஆண்டு அரசியல் தணிக்கை என்று அவர் கருதியதை எதிர்த்து நடத்திய உண்ணாவிரதமும் அடங்கும்.\nPlease provide the translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Since moving to the Catalan-capital, Vidal had played 49 games for the club.\nTamil:""}]"	கடலான்-கேபிடலுக்கு மாறிய பின், விடால் அந்த கிளப்பிற்காக 49 ஆட்டங்களில் விளையாடி இருக்கிறார்.	கடலானியில் வசிக்கும் பிரான்சோ விடால் அந்த கிளப்பிற்கு 49 விளையாட்டுகள் செய்துள்ளார்.
"[{'role': 'user', 'content': ""This is an English to Tamil translation, please provide the Tamil translation for this sentence:\nEnglish: Architecture is concerned with the design and construction of buildings. The architecture of a place is often a tourist attraction in its own right.\nTamil: கட்டடக் கலை என்பது ஒரு கட்டிடத்தின் வடிவமைப்பு மற்றும் கட்டுதல் சம்பந்தப் பட்டது. ஒரு இடத்தின் கட்டிடக்கலை பெரும்பாலும் அதன் தகுதியிலேயே சுற்றுலா ஈர்ப்பாக இருக்கும்.\nPlease provide the translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: The protest started around 11:00 local time (UTC+1) on Whitehall opposite the police-guarded entrance to Downing Street, the Prime Minister's official residence.\nTamil:""}]"	பிரதமரின் அதிகாரபூர்வ இல்லமான வைட் ஹாலுக்கு எதிரில், உள்ளூர் நேரமான சுமார் 11:00 மணிக்கு (UTC+1) போராட்டம் தொடங்கியது. காவல்துறை அதிகாரிகள் டவுனிங் தெருவின் நுழைவாயிலை பாதுகாத்து நின்றனர்.	பிரதம மந்திரியின் அலுவலக வீட்டின் பகுதியில் போலீஸ் காவல் உள்பாடுகளுக்கு எதிராக வைத்த வைட்ஹால் என்ற இடத்தில் மூன்றும் பிறந்த நேரத்தில் (UTC+1) போராட்டம் தொடங்கியது.
[{'role': 'user', 'content': 'This is an English to Tamil translation, please provide the Tamil translation for this sentence:\nEnglish: At the top end, B&Bs obviously compete mainly on two main things: bedding and breakfast.\nTamil: இறுதியில், B&Bs இரண்டு முக்கிய விஷயங்களில் போட்டியிடுகின்றன: படுக்கை மற்றும் காலை உணவு.\nPlease provide the translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Just after 11:00, protesters blocked traffic on the northbound carriage in Whitehall.\nTamil:'}]	11:00 மணிக்குப் பின்னர், எதிர்ப்பாளர்கள் ஒயிட்ஹாலில் வடக்கு நோக்கி செல்லும் வண்டிகளின் போக்குவரத்தைத் தடுத்தனர்.	11:00 க்குள் உடன், போராட்டக் குழு வெளியிடத்தில் வடக்கு புறப்பாக போக்குவரத்துக்கு தடை விதிக்கப்பட்டனர்.
"[{'role': 'user', 'content': 'This is an English to Tamil translation, please provide the Tamil translation for this sentence:\nEnglish: They also said in a statement, ""The crew is currently working to determine the best method of safely extracting the ship"".\nTamil: ""ஒரு அறிக்கையில் அவர்கள், """"தற்சமயம் குழுவினர் கப்பலின் பாதுகாப்பில் சிறப்பானதை தீர்மானிக்க பணியாற்றி வருகின்றனர்"""" எனவும் கூறினர்.""\nPlease provide the translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: At 11:20, the police asked the protesters to move back on to the pavement, stating that they needed to balance the right to protest with the traffic building up.\nTamil:'}]"	11:20 க்கு போலீசார், அதிகரிக்கும் போக்குவரத்து நெரிசலையும் அவர்கள் போராடும் உரிமையையும் சமமாகப் பாவிக்கக் கூறி, போராட்டக்காரர்களை நடைபாதைக்கு செல்லும்படி உத்தரவிட்டனர்.	11:20 மணிக்கு, போராட்டத்தில் பங்கேற்பவர்கள் சாலைக்கு மீது திரும்ப செல்ல வேண்டும் என்று போலீஸ் கேட்டனர், போராட்டத்தின் உரிமையை சரிசெய்ய வேண்டும் என்று சொல்லி செயல்படுகின்றனர்.
[{'role': 'user', 'content': 'This is an English to Tamil translation, please provide the Tamil translation for this sentence:\nEnglish: The proposed amendment already passed both houses in 2011.\nTamil: முன்மொழியப்பட்ட திருத்தம் ஏற்கனவே 2011 இல் இரு சபைகளிலும் நிறைவேற்றப்பட்டது.\nPlease provide the translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Around 11:29, the protest moved up Whitehall, past Trafalgar Square, along the Strand, passing by Aldwych and up Kingsway towards Holborn where the Conservative Party were holding their Spring Forum in the Grand Connaught Rooms hotel.\nTamil:'}]	11:29 அளவில் அந்த போராட்டம், ஒயிட்ஹாலிலிருந்து ட்ரஃபால்கர் சதுக்கத்தைத் தாண்டி, ஸ்ட்ரான்ட், ஆல்ட்விச், கிங்ஸ் வே வழியாக ஹால்பார்ன் நோக்கிச் சென்றது. அங்கே கிராண்ட் கன்னாட் ரூம்ஸ் ஓட்டலில் கன்சர்வேட்டிவ் கட்சியினர் அவர்களது வசந்த கால மாநாட்டை நடத்திக் கொண்டிருந்தனர்.	கருத்துக்களை மேலும் நூற்றாண்டு பழக்கம் பற்றிய பேரரசின் கட்டுரைகள் பற்றிய போராட்டம் 11:29 மணிக்கு சுற்றிக்கொண்டு வைத்து வந்தது, டிராஃபல்கார் சந்திப்புகளை கடந்து வெளியேறி, ஸ்ட்ராண்ட் பகுதியில் மீண்டும் அல்ட்விச் மற்றும் கிங்ஸ்வே பகுதிக்குப் போகி ஹோல்பார்ன் என்ற இடத்தில் காங்கிரஸ் கட்சியின் கோடை கண்ணாடியில் நடந்து கொண்டது.
