messages	label	predictions
[{'role': 'user', 'content': 'This is an English to Tigrinya translation, please provide the Tigrinya translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Six hostages, including the children and elderly, were released early, as were the Filipino photographers.\nTigrinya:'}]	ፊሊፒናውያን ፎቶ ሰአልቲ፣ ህፃናትን ሽማግለታትን ወሲኹ 6 ተዓጊቶም ዝነበሩ እሱራት ቅድም ኢሎም ተፈቲሖም እዮም።	ሕጂ ስርዓትን ኣብ ልዕሊ ስርዓትን እዩ።
[{'role': 'user', 'content': 'This is an English to Tigrinya translation, please provide the Tigrinya translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: The “invisible team” is the management team to which each of the members report. The invisible team sets the standards for each member.\nTigrinya:'}]	እቲ “ዘይረአ ጉጅለ” ኩሉ ኣባል ሪፖርት ዝገብረሉ ናይ ምምሕዳር ጉጅለ እዩ። ንኹሉ ኣባል መለክዒ ዘውጽእ እቲ ዘይረአ ጉጅለ እዩ።	የማህበራዊ ቡድን ቡድን ነው እንዴት የአባልነት ውስጥ የሚገኙትን አባል በመስራት የሚያስተምሩ ነው። የማህበራዊ ቡድን ቡድን የሚገኙትን ውስጥ የሚገኙትን መሰረታዊ የሆነ የሚያስተምሩ ነው።
"[{'role': 'user', 'content': 'This is an English to Tigrinya translation, please provide the Tigrinya translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.\nTigrinya:'}]"	“ኣብ'ዚ እዋን ናይ 4 ወርሒ ዕድመ ዝገበሩ ኣናጹ፣ ሕማም ሽኮር ዝነበሮም ግን ከኣ ሕጂ ዘይብሎም ከምዘለና ሓቢሩ፣” ወሲኩ ሓቢሩ	እኛ ማህበር ኣለን ከ4 ወር ኣልባሳደር ኣልባሳደር ኣለዎ።
[{'role': 'user', 'content': 'This is an English to Tigrinya translation, please provide the Tigrinya translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: There are a lot of social and political effects such as the use of metric system, a shift from absolutism to republicanism, nationalism and the belief the country belongs to the people not to one sole ruler.\nTigrinya:'}]	ከም ሜትሪክ ሲስተም ምጥቃም ካብ ሪፓብሊካውነት ናብ ሃገራውነት ምቕያር ከምኡውን እታ ሃገር ናይ ሓደ በይኑ ገዛኢ ዘይኰነት ህዝቢ ምዃና ምእማን ዝኣመሰለ ብዙሕ ማሕበራውን ፖለቲካውን ጽልዋታት ኣሎ።	ኣብ ልዕሊ ምስማዕ ኣብዚ ስርዓትና ስርዓት እዩ። ስለዝኾነ ስርዓት ኣብ ምስማዕ ኣብዚ ስርዓት እዩ። ስለዝኾነ ስርዓት ኣብ ምስማዕ ኣብዚ ስርዓት እዩ። ስለዝኾነ ስርዓት ኣብ ምስማዕ ኣብዚ ስርዓት እዩ።
[{'role': 'user', 'content': 'This is an English to Tigrinya translation, please provide the Tigrinya translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: The first known transportation was walking, humans began walking upright two million years ago with the emergence of Homo Erectus (meaning upright man).\nTigrinya:'}]	እቲ ናይ መጀመሪያ መጓዓዚያ ብእግሪ ምንቕስቓስ እዩ ወዲ ሰብ አብ ዘመነ ሆሞ ኢሬክተስ(ማለት ቅኑዕ ሰብኣይ) ብእግሩ ጠጠወ ኢሉ ምኳድ ጀመሩ።	መጀመርያ ምንጭ ምስል ነው፡፡ ሰውየውን ምስል በሚገባ ጊዜ ለመጀመር ሁለት ሚሊየን ዓመታት በሚያስተምር ሆም የሚሆነው ሆም ነው፡፡
[{'role': 'user', 'content': 'This is an English to Tigrinya translation, please provide the Tigrinya translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.\nTigrinya:'}]	ኣብ ሃሊፋክስ፣ ኖቫ ስኮቲያ ናይ ዶልሆሲ ዩኒቨርሲቲ ፕሮፌሰር ሕክምና ከምኡውን ናይ ማሕበር ሕሙማት ሽኮር ካናዳ ኣካቢ ጨንፈር ክሊኒካውን ሳይንሳውን፣ ዶክተር ኢሁድ ዩር ዝምርምር ስራሕ ገና ኣጸቢቁ ዘይማዕበለ ከምዝኮነ ኣጠንቂቑ።	ዶ/ር ኤሁድ ኡር, የማይክለከፍት ባህል በደለሂን ዩኒቨርሲቲ አባል እና የካናዳ የህክምና ማህበራ ሰላም ወደ የካናዳ ዲግት አስተዳደር ለሚገኘው የህክምና ማህበራ ሕክምና አስተማሪ ድርጅት ምርጫን ማስተካከል እንደሚችል አስታውሰዋል።
[{'role': 'user', 'content': 'This is an English to Tigrinya translation, please provide the Tigrinya translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Some animals, such as elephants and giraffes, tend to approach closely to cars and standard equipment will allow good viewing.\nTigrinya:'}]	ሓደ ሓደ እንስሳት ከምኒ ሓርማዝን ቅጭኔን ናብ መኪና ቀስ ኢሎም ናይ ምጽጋዕ ባህሪ ስለዘልዎም ጽሬቶም ዝሓለዉ ኣቕሓታት ጽቡቕ ርእዮት ክህሉ ይገብሩ።	ኣንስትራይን እና ግራፊንያዊ ኣንስትራይን ናይ መንገዲ እዩ ኣብ መንገዲ ኣብዚ ዝተመለሰ ኣንስትራይን እዩ።
"[{'role': 'user', 'content': 'This is an English to Tigrinya translation, please provide the Tigrinya translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Finland is a great boating destination. The ""Land of a thousand lakes"" has thousands of islands too, in the lakes and in the coastal archipelagos.\nTigrinya:'}]"	ፊንላንድ ጀልባ ዝገንሓላ ዓባይ ዓዲ እያ። “ብዙሓት ኣሻሓት ቓላይ ዘለውዋ መሬት” ኮይና አብ እቶም ቓላያትን አብቲ ገምገም ባሕሪታት ኣሻሓት እኩባት ደሴታት እውን አለውዋ እዮም።	"ፊንላንድ ናይ ቦታ ምስልታት ኣብዚ ነቲ ኣልኣለዎም። ""ኣራሪ ዓሣ"" ኣብ ኣልኣለዎም ኣብ ምስልታት ኣብ ኮርሳዶታት ኣብ ኣልኣለዎም ዓሣውዎም ኣብ ምስልታት ኣብ ዓለም ሃገርናት።"
[{'role': 'user', 'content': 'This is an English to Tigrinya translation, please provide the Tigrinya translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.\nTigrinya:'}]	ልክዕ ከም ካልኦት ምሁራን ንሱ እውን ናይ ሽኮር ሕማም ይሕከም ዶ ኣይሕከምን አብ ዝብል ይጠራጠር እዩ፣ ምኽንያቱም እቶም ዝተረኸቡ ውጺኢታት ንዓይነት 1 ሽኮር ዘለዎም ሰባት ምንም ዓይነት ለውጢ ከምጽኡ ስለዘይከኣሉ።	ኣብ ኣብዚ እዚ ምምሕዳር ምስ ኣብዚ ኣለኹም ኣብ ኣብዚ ክልቲኡ ድማ ኣብዚ ኣይኮነን። ኣብዚ ኣለኹም ኣብ ኣብዚ ኣለኹም ዝተሰምዑ ምስ ዝተሰምዑ ምስ ዝተሰምዑ ኣብ ኣብዚ ኣለኹም ኣብ ኣብዚ ክልቲኡ ድማ ኣብዚ ኣይኮነን።
[{'role': 'user', 'content': 'This is an English to Tigrinya translation, please provide the Tigrinya translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: The cabbage juice changes color depending on how acidic or basic (alkaline) the chemical is.\nTigrinya:'}]	ጽማቝ ካውሎ ከከም ኣሲድ ወይ መሰረታዊ (ኣልካሊ) ከሚካል ሕብሪ ይቕይር ።	የካቢጅ ጭብጥ በደረቅ ወይም በደረት ማለት የሚሰራውን ባለሙያነት በማጣመር ላይ ይቀይራል።
