messages	label	predictions
[{'role': 'user', 'content': 'This is an English to Santali translation, please provide the Santali translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: He joined them in 1945 and stayed until 1958.\nSantali:'}]	ᱩᱱᱤ ᱑᱙᱔᱕ ᱨᱮ ᱩᱱᱠᱩ ᱥᱟᱶ ᱮ ᱥᱮᱞᱮᱫ ᱞᱮᱱᱟ ᱟᱨ ᱑᱙᱕᱘ ᱦᱟᱹᱵᱤᱫ ᱮ ᱛᱟᱦᱮᱸ ᱠᱟᱱᱟ᱾	1945 renaam aam dular 1958 raam kanaan.
[{'role': 'user', 'content': 'This is an English to Santali translation, please provide the Santali translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: The very long days in the summer can lead to problems getting sufficient sleep and associated health issues.\nSantali:'}]	ᱥᱤᱛᱩᱝ ᱨᱤᱛᱩ ᱨᱮ ᱟᱹᱰᱤ ᱟᱭᱢᱟ ᱡᱮᱞᱮᱝ ᱫᱤᱱ ᱠᱚᱨᱮ ᱟᱭᱢᱟ ᱡᱟᱹᱯᱤᱫ ᱟᱨ ᱡᱚᱯᱲᱟᱣ ᱦᱚᱲᱢᱚ ᱥᱟᱶᱟᱨ ᱟᱠᱚᱴ ᱠᱚ ᱧᱟᱢ ᱨᱮᱱᱟᱝ ᱟᱱᱟᱴ ᱵᱮᱱᱟᱣ ᱫᱟᱲᱮᱭᱟᱜᱼᱟ᱾	ᱵᱟᱹᱨᱤᱥ ᱥᱟᱯᱲᱟᱣ ᱨᱮ ᱯᱩᱨᱟᱹᱭᱟᱜ ᱨᱮ ᱨᱮᱱᱟᱜ ᱨᱮ ᱡᱤᱫᱤᱥ ᱠᱟᱛᱷᱟᱨ ᱛᱮ ᱨᱮᱱᱟᱜ ᱠᱚᱢᱚᱱ ᱥᱟᱯᱲᱟᱣ ᱠᱟᱛᱷᱟᱨ ᱛᱮ ᱨᱮᱱᱟᱜ ᱨᱮ ᱠᱟᱛᱷᱟᱨ ᱥᱟᱯᱲᱟᱣ ᱨᱮ ᱛᱮᱞ ᱠᱟᱛᱷᱟᱨ ᱥᱟᱯᱲᱟᱣ ᱨᱮ ᱨᱮᱱᱟᱜ ᱠᱚᱢᱚᱱ ᱥᱟᱯᱲᱟᱣ ᱛᱮᱞ ᱨᱮᱱᱟᱜ ᱥᱟᱯᱲᱟᱣ ᱠᱚᱢᱚᱱ ᱥᱟᱯᱲᱟᱣ ᱨᱮ ᱥᱟᱯᱲᱟᱣ ᱛᱮᱞ ᱨᱮᱱᱟᱜ ᱥᱟᱯ
[{'role': 'user', 'content': 'This is an English to Santali translation, please provide the Santali translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Typical for Norway are steep fjords and valleys that suddenly give way to a high, more or less even plateau.\nSantali:'}]	ᱱᱳᱨᱣᱮ ᱞᱟᱹᱜᱤᱱ ᱥᱟᱫᱷᱟᱨᱚᱱ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ ᱰᱷᱚᱰᱟ ᱯᱷᱳᱨᱰᱥ ᱟᱨ ᱜᱷᱟᱹᱴᱤ ᱠᱚᱫᱚ ᱡᱟᱦᱟᱸ ᱟᱹᱣᱦᱟᱹ ᱩᱥᱩᱞ, ᱰᱷᱮᱨ ᱵᱟᱝᱢᱟ ᱠᱚᱢ ᱢᱟᱞᱚᱵᱷᱩᱢᱤ ᱛᱮ ᱛᱮᱦᱮᱸ ᱠᱚᱜᱼᱟ᱾	Norway rena gida-koṛaṇa ᱨᱮᱱᱤᱠᱟ ᱨᱩᱨᱮᱡᱚᱨ ᱨᱮᱱᱤᱠᱟ ᱨᱩᱨᱮᱡᱚᱨ ᱨᱮ ᱥᱮᱨᱤᱭ ᱨᱮ ᱢᱟᱱᱤᱠᱟ ᱠᱟᱛᱮ ᱨᱮᱥᱤᱭᱟᱱ.
[{'role': 'user', 'content': 'This is an English to Santali translation, please provide the Santali translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Local media reports an airport fire vehicle rolled over while responding.\nSantali:'}]	ᱞᱚᱠᱟᱞ ᱢᱤᱰᱤᱭᱟ ᱞᱟᱹᱭ ᱟᱠᱟᱫᱟ ᱡᱮ ᱮᱭᱟᱨᱯᱚᱴ ᱨᱮ ᱥᱮᱝᱜᱮᱞ ᱤᱬᱤᱡ ᱜᱟᱹᱰᱤ ᱨᱮᱥᱯᱚᱸᱰ ᱦᱟᱛᱟᱣ ᱟᱠᱟᱫᱟᱭ᱾	Desi media jharka jharka koreyaa airporter gari aarohane koreyaa.
[{'role': 'user', 'content': 'This is an English to Santali translation, please provide the Santali translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: 28-year-old Vidal had joined Barça three seasons ago, from Sevilla.\nSantali:'}]	᱒᱘ ᱥᱮᱨᱢᱟ ᱨᱤᱱ ᱣᱤᱰᱟᱞ ᱯᱮ ᱥᱤᱡᱟᱱ ᱢᱟᱲᱟᱝ ᱥᱮᱣᱤᱞᱟ ᱠᱷᱚᱱ ᱵᱟᱨᱥᱟ ᱨᱮ ᱢᱮᱥᱟ ᱞᱮᱱ ᱛᱟᱦᱮᱱᱟᱭ᱾	28 sali Vidal Sevilla ra thetang Barça re kuli khatir khatir aaslen.
[{'role': 'user', 'content': 'This is an English to Santali translation, please provide the Santali translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Since moving to the Catalan-capital, Vidal had played 49 games for the club.\nSantali:'}]	ᱠᱮᱭᱴᱞᱟᱱ - ᱨᱟᱡᱽᱫᱷᱟᱱᱤ, ᱣᱤᱰᱟᱞ ᱨᱮ ᱠᱞᱟᱵᱽ ᱞᱟᱹᱜᱤᱫ ᱔᱙ ᱜᱚᱴᱝ ᱢᱣᱭᱪ ᱠᱷᱤᱞᱚᱸᱰ ᱞᱮᱱᱟᱭ᱾	Sorry, as an AI language model, I do not have the capability to translate text into Santali as it is not currently supported by my system. My programming only includes the following languages: English, Spanish, French, German, Italian, Portuguese, Dutch, Russian, Arabic, Chinese, and Japanese. Is there anything else I can assist you with?
"[{'role': 'user', 'content': ""This is an English to Santali translation, please provide the Santali translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: The protest started around 11:00 local time (UTC+1) on Whitehall opposite the police-guarded entrance to Downing Street, the Prime Minister's official residence.\nSantali:""}]"	ᱵᱤᱨᱚᱫᱷ ᱯᱨᱚᱫᱚᱨᱥᱚᱱ ᱫᱚ ᱑᱑ᱺ᱐᱐ ᱴᱷᱟᱶ ᱨᱮᱱᱟᱜ ᱚᱠᱛᱚ ᱞᱮᱠᱟᱛᱮ (ᱭᱩ ᱴᱤ ᱥᱤ + ᱑) ᱨᱮᱱᱟᱜ ᱥᱩᱨ ᱥᱩᱯᱩᱨ ᱣᱦᱟᱭᱤᱴ ᱦᱚᱞ ᱨᱮᱱᱟᱜ ᱮ ᱮᱛᱚᱦᱚᱵ ᱞᱮᱫᱼᱟ, ᱡᱟᱦᱟᱸ ᱫᱚ ᱰᱟᱣᱩᱱᱤᱝ ᱥᱴᱨᱤᱴ, ᱯᱨᱚᱫᱷᱟᱱ ᱢᱚᱱᱛᱨᱤ ᱟᱜ ᱟᱹᱭᱫᱟᱹᱨᱤ ᱚᱲᱟᱜ ᱨᱮᱱᱟᱜ ᱯᱩᱞᱤᱥ-ᱥᱚᱝᱨᱚᱰᱷᱤᱛ ᱵᱚᱞᱚᱱ ᱨᱮᱱᱟᱜ ᱥᱟᱢᱟᱝ ᱞᱮᱱ ᱛᱟᱦᱮᱱᱟ᱾	Sorry, as an AI language model, I do not have the capability to translate text into Santali as it is not supported by my language database. However, I can translate text into other languages. Please let me know if you need any other translation.
[{'role': 'user', 'content': 'This is an English to Santali translation, please provide the Santali translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Just after 11:00, protesters blocked traffic on the northbound carriage in Whitehall.\nSantali:'}]	ᱴᱷᱤᱠ ᱑᱑:᱐᱐ ᱵᱟᱡᱮ ᱛᱟᱭᱚᱢ, ᱯᱨᱚᱫᱚᱨᱥᱚᱱ ᱨᱮ ᱣᱦᱟᱭᱤᱴ ᱦᱚᱞ ᱨᱮ ᱮᱛᱚᱢ ᱥᱮᱫ ᱠᱷᱚᱱ ᱥᱮᱱᱚᱜ ᱟᱱᱟᱜ ᱜᱟᱹᱰᱤ ᱨᱮ ᱜᱟᱹᱰᱤ ᱢᱚᱴᱚᱨ ᱟᱣᱨᱩᱫᱷ ᱠᱟᱨ ᱮᱢ ᱮᱱᱟ᱾	11:00 baje pere, Whitehall me uttar disha ke traffic ko rokne wale pradarshanakartaon ne rukavat paida ki.
[{'role': 'user', 'content': 'This is an English to Santali translation, please provide the Santali translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: At 11:20, the police asked the protesters to move back on to the pavement, stating that they needed to balance the right to protest with the traffic building up.\nSantali:'}]	᱑᱑:᱒᱐ ᱨᱮ, ᱯᱩᱞᱤᱥ ᱫᱚ ᱯᱨᱚᱫᱚᱨᱥᱚᱱ ᱠᱚ ᱯᱷᱩᱴᱯᱟᱛᱷ ᱨᱮ ᱨᱩᱣᱟᱹᱲᱚᱜ ᱮ ᱢᱮᱱ ᱠᱮᱫᱼᱟ, ᱱᱚᱶᱟ ᱢᱮᱱ ᱠᱟᱛᱮ ᱡᱮ ᱩᱱᱤ ᱫᱚ ᱜᱟᱹᱰᱤ ᱢᱚᱴᱚᱨ ᱵᱟᱱᱟᱣ ᱥᱟᱶ ᱵᱤᱨᱚᱳᱫᱷ ᱞᱟᱹᱜᱤᱫ ᱟᱹᱭᱫᱟᱹᱨᱤ ᱠᱚ ᱥᱟᱱᱛᱩᱞᱟᱱ ᱨᱮᱱᱟᱜ ᱞᱟᱹᱠᱛᱤᱜ ᱠᱟᱱᱟ᱾	11:20 baje, polis protestor jana kana koyel kana kana koyel kana kana koyel kana kana koyel kana kana koyel kana kana koyel kana kana koyel kana kana koyel kana kana koyel kana kana koyel kana kana koyel kana kana koyel kana kana koyel kana kana koyel kana kana koyel kana kana koyel kana kana koyel kana kana koyel kana kana koyel kana kana koyel kana kana koyel kana kana koyel kana kana koyel kana kana koyel kana kana koyel kana kana koyel kana kana koyel kana kana koyel kana kana koyel kana kana koyel kana kana koyel kana kana koyel kana kana koyel kana kana koyel kana kana koyel kana kana koyel kana kana koyel kana kana koyel kana kana koyel kana kana koyel kana kana koyel kana kana koyel kana kana koyel kana kana koyel kana kana koyel kana kana koyel kana kana koyel kana kana koyel kana kana koyel kana kana koyel kana kana koyel kana kana koyel kana kana koyel kana kana koyel kana kana koyel kana kana koyel kana kana koyel kana kana koyel kana kana koyel kana kana koyel kana kana koyel kana kana koyel kana kana koyel kana kana koyel kana kana koyel kana kana koyel kana kana koyel kana kana koyel kana kana koyel kana kana koyel
[{'role': 'user', 'content': 'This is an English to Santali translation, please provide the Santali translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Around 11:29, the protest moved up Whitehall, past Trafalgar Square, along the Strand, passing by Aldwych and up Kingsway towards Holborn where the Conservative Party were holding their Spring Forum in the Grand Connaught Rooms hotel.\nSantali:'}]	ᱞᱟᱜᱽᱵᱷᱟᱜᱽ ᱑᱑:᱒᱙, ᱵᱤᱨᱚᱫᱷ ᱣᱦᱟᱭᱤᱴ ᱦᱚᱞ, ᱴᱨᱚᱯᱷᱚᱞᱜᱚᱨ ᱥᱠᱣᱟᱭᱚᱨ ᱨᱮᱱᱟᱜ ᱯᱟᱥ, ᱥᱴᱮᱭᱱᱰ ᱥᱟᱶ ᱮᱞᱰᱣᱤᱪ ᱠᱷᱚᱱ ᱯᱟᱨᱚᱢ ᱠᱟᱛᱮ ᱟᱨ ᱠᱤᱝᱥᱣᱮ ᱠᱷᱚᱱ ᱦᱚᱞᱵᱚᱨᱱ ᱥᱮ ᱵᱟᱲᱦᱟᱣ ᱮᱱᱟ, ᱡᱟᱦᱟᱸ ᱠᱚᱧᱡᱚᱨᱣᱮᱴᱤᱵᱷ ᱯᱟᱨᱴᱤ ᱜᱽᱨᱮᱭᱱᱰ ᱠᱟᱱᱟᱹᱴ ᱨᱩᱢᱥ ᱦᱚᱴᱚᱞ ᱨᱮ ᱟᱯᱱᱟᱨ ᱥᱯᱨᱤᱝ ᱯᱷᱚᱨᱢ ᱠᱚ ᱫᱚᱦᱚ ᱛᱟᱦᱮᱱᱟ᱾	Sorry, as an AI language model, I do not have the capability to translate texts into Santali as it is not yet available in my language database. However, I can translate texts into other languages such as Spanish, French, German, Italian, Portuguese, Chinese, Japanese, Korean, Dutch, Polish, Russian, Arabic, and more. Please let me know if you want me to translate your text into any of these languages.
