messages	label	predictions
[{'role': 'user', 'content': 'This is an English to Swahili translation, please provide the Swahili translation for these sentences:\nEnglish: You can mark the passing of time yourself by observing the repetition of a cyclical event. A cyclical event is something that happens again and again regularly.\nSwahili: Unaweza kuweka alama ya upitaji wa saa wewe mwenyewe kwa kuangalia marudio ya tukio la kimzunguko. Tukio la kimzunguko ni kitu ambacho hutukia tena na tena mara nyingi.\nEnglish: Most televisions are made in a way to please the general public.\nSwahili: Vipindi vingi vya televisheni nyingi hutengenezwa kwa njia ya kufurahisha umma.\nEnglish: With fewer REMs per night, this state in which you experience actual sleep and your body recovers becomes infrequent enough to become a problem.\nSwahili: Ikiwa na vipindi vifupi vya usogezaji macho kwa haraka, hali hii ambapo unapata usingizi halisi na mwili wako kupata nafuu huwa nadra kiasi cha kuwa tatizo.\nPlease provide the translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: He joined them in 1945 and stayed until 1958.\nSwahili:'}]	Alijiunga nao mwaka wa 1945 na akakaa hadi mwaka wa 1958.	Alijiunga nao mwaka 1945 na akabaki hadi mwaka 1958.
"[{'role': 'user', 'content': ""This is an English to Swahili translation, please provide the Swahili translation for these sentences:\nEnglish: Coffee is one of the world's most traded commodities, and you can probably find many types in your home region.\nSwahili: Kahawa ni mojawapo ya bidhaa zinazouzwa sana duniani, na labda unaweza kupata aina nyingi katika eneo lako la nyumbani.\nEnglish: A hospitality exchange network is the organization that connects travelers with locals in the cities they are going to visit.\nSwahili: Kubadilishana mitandao ya ukarimu ndio shirika linalounganisha wasafiri na wenyeji kwenye miji wanayoizuru.\nEnglish: Given how remote many of the pueblos are, you won't be able to find a significant amount of nightlife without traveling to Albuquerque or Santa Fe.\nSwahili: Kwa kuzingatia umbali wa wapueblo wengi, hutaweza kupata maisha ya usiku ya maana bila kusafiri kwenda Albakuku au Santa Fe.\nPlease provide the translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: The very long days in the summer can lead to problems getting sufficient sleep and associated health issues.\nSwahili:""}]"	Siku ndefu sana katika msimu wa kiangazi zinaweza kupelekea shida za kupata usingizi wa kutosha na shida za kiafya zinazohusika.	Siku ndefu sana wakati wa kiangazi zinaweza kusababisha matatizo ya kupata usingizi wa kutosha na masuala yanayohusiana na afya.
"[{'role': 'user', 'content': ""This is an English to Swahili translation, please provide the Swahili translation for these sentences:\nEnglish: The band's management company, HK Management Inc., gave no initial reason when they canceled on September 20, but blamed logistical reasons by the next day.\nSwahili: Kampuni ya usimamizi wa bendi, HK Management Inc., haikutoa sababu yoyote mwanzoni ilipoghairi mnamo 20 Septemba, lakini ikalaumu sababu za kiutaratibu kufikia siku iliyofuata.\nEnglish: To Check the victim, you must first survey the scene to ensure your safety.\nSwahili: Ili Kumwangalia mwathirika, ni lazima kwanza uchunguze eneo ili kuhakikisha usalama wako.\nEnglish: The walls and roofs of ice caves can collapse and cracks can get closed.\nSwahili: Kuta na paa za mapango ya barafu zinaweza kuporomoka na nyufa zinaweza kuzibwa.\nPlease provide the translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Typical for Norway are steep fjords and valleys that suddenly give way to a high, more or less even plateau.\nSwahili:""}]"	Kawaida kwa Norwei kuwa na vilango-bahari vyenye miinuko mikali na mabonde ambayo ghafla hugeuka kuwa kilima kirefu tambarare ambacho ni bapa, kwa kadiri fulani.	Kawaida ya Norway ni vilindi vya fjordi na mabonde yenye ukuta mkali ambayo ghafla yanatoa nafasi kwa tambarare yenye kimo kikubwa, zaidi au chini sawa.
[{'role': 'user', 'content': 'This is an English to Swahili translation, please provide the Swahili translation for these sentences:\nEnglish: The original bill was drafted by former mayor of São Paulo, Marta Suplicy. The proposed legislation, after being amended, is now in the hands of Roberto Jefferson.\nSwahili: Mswada halisi ulitungwa na meya wa awali wa Sao Paulo, Marta Suplicy. Sheria iliyopendekezwa, baada ya kurekebishwa, sasa iko mikononi mwa Roberto Jefferson.\nEnglish: He was staying in the team hotel ahead of a match planned for Sunday against Bolonia.\nSwahili: Alikuwa akikaa kwenye hoteli ya timu mbele ya mechi iliyopangiwa Jumapili dhidi ya Bolania.\nEnglish: In 1994, the ethnically Armenian Nagorno-Karabakh region of Azerbaijan waged war against the Azeris.\nSwahili: Mnamo 1994, eneo la Azabaijan lililo la Nagorno-Karabakh kikabila lilifanya vita dhidi ya Azeris.\nPlease provide the translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Local media reports an airport fire vehicle rolled over while responding.\nSwahili:'}]	Vyombo vya habari vya ndani vinaripoti kwamba gari la zimamoto la uwanja wa ndege lilibingirika wakati wa kuitikia.	Vyombo vya habari vya ndani vinatoa ripoti kwamba gari la kuzima moto la uwanja wa ndege lilipinduka wakati wa kujibu.
[{'role': 'user', 'content': 'This is an English to Swahili translation, please provide the Swahili translation for these sentences:\nEnglish: The Drukgyal Dzong is a ruined fortress and Buddhist monastery in the upper part of the Paro District (in Phondey Village).\nSwahili: Drukgyal Dzong ni ngome iliyoharibika na monasteri ya Kibudhi katika sehemu ya juu ya Wilaya ya Paro (katika Kijiji cha Phondrey).\nEnglish: Airlines such as Emirates, Etihad Airways, Qatar Airways & Turkish Airlines have greatly expanded their services to Africa, and offer connections to many major African cities at competitive rates than other European airlines.\nSwahili: Kampuni za ndege kama vile Emirates, Etihad Airways, Qatar Airways na Turkish Airlines zimepanua huduma zao pakubwa katika Afrika, na hutoa miunganisho kwenye miji mingi muhimu ya Afrika kwa bei bora kuliko kampuni nyingine za Uingereza.\nEnglish: People with this type of thinking have logical thinking, are able to memorize patterns, solve problems and work on scientific tests.\nSwahili: Watu wenye aina hii ya kufikiria wana mawazo ya kimantiki, wanaweza kukariri miundo, kutatua shida na kufanya majaribio ya kisayansi.\nPlease provide the translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: 28-year-old Vidal had joined Barça three seasons ago, from Sevilla.\nSwahili:'}]	Vidal mwenye umri wa miaka 28 alikuwa amejiunga na Barca misimu mitatu iliyopita kutoka Sevilla.	Vidal mwenye umri wa miaka 28 alijiunga na Barça miaka mitatu iliyopita, kutoka Sevilla.
[{'role': 'user', 'content': 'This is an English to Swahili translation, please provide the Swahili translation for these sentences:\nEnglish: The artistic event is also part of a campaign by the Bucharest City Hall that seeks to relaunch the image of the Romanian capital as a creative and colourful metropolis.\nSwahili: Tukio hilo la kisanaa pia ni sehemu ya kampeni ya Bucharest City Hall ambayo ina lengo la kuzindua taswira ya mji huo mkuu wa Romania kama jiji bunifu la kusisimua.\nEnglish: Other skiing events will be at the Taizicheng ski area in Zhangjiakou, about 220 km (140 miles) from Beijing.\nSwahili: Matukio mengine ya kuteleza kwenye theluji yatakuwa katika eneo la Taizicheng katika Zhangjiakou, takribani kilomita 220 (maili 140) kutoka Beijing.\nEnglish: The atom can be considered to be one of the fundamental building blocks of all matter.\nSwahili: Atomu inaweza kuchukuliwa kama mojawapo ya mawe msingi ya ujenzi ya dutu zote.\nPlease provide the translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Since moving to the Catalan-capital, Vidal had played 49 games for the club.\nSwahili:'}]	Tangu kuhamia katika mji mkuu wa Catalan, Vidal alikuwa amechezea klabu yake michezo 49.	Tangu ahamie katika mji mkuu wa Catalan, Vidal amecheza mechi 49 kwa klabu.
"[{'role': 'user', 'content': ""This is an English to Swahili translation, please provide the Swahili translation for these sentences:\nEnglish: European Turkey (eastern Thrace or Rumelia in the Balkan peninsula) includes 3% of the country.\nSwahili: Uturuki ya Ulaya (Thrace mashariki au Rumelia katika rasi ya Balka) inajumuisha asilimia 3 ya nchi.\nEnglish: Keep in mind while planning that although Southern Africa is stable not all neighboring countries are.\nSwahili: Zingatia wakati wa kupanga kwamba ingawa Kaskazini mwa Afrika ni imara si nchi zote jirani zilizo imara.\nEnglish: The study found that depression, fear and catastrophising mediated the relationship between pain and disability in lower back pain sufferers.\nSwahili: Utafiti ulionyesha kwamba mafadhaiko, uoga na kutia janga chumvi kulipatanisha uhusiano kati ya uchungu na ulemavu kwa walio na maumivu ya sehemu ya chini ya mgongo.\nPlease provide the translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: The protest started around 11:00 local time (UTC+1) on Whitehall opposite the police-guarded entrance to Downing Street, the Prime Minister's official residence.\nSwahili:""}]"	Maandamano yalianza takriban saa 5 saa za ndani (UTC+1) katika Whitehall mkabala na mlango wa Mtaa wa Downing unaolindwa na polisi, Makao rasmi ya Waziri Mkuu.	Maandamano yalianza saa 11:00 asubuhi saa za hapa (UTC+1) kwenye Whitehall mbele ya lango linalolindwa na polisi kuingia Downing Street, makazi rasmi ya Waziri Mkuu.
[{'role': 'user', 'content': 'This is an English to Swahili translation, please provide the Swahili translation for these sentences:\nEnglish: Until now, AOL has been able to move and develop the IM market at its own pace, due to its widespread use within the United States.\nSwahili: Hadi sasa, AOL imeweza kusongesha na kuendeleza soko la IM kwa kasi yake mwenyewe, kwa sababu ya matumizi yake yaliyoenea ndani ya Merika.\nEnglish: Eighteen holes are played during a regular round, with players usually starting on the first hole on the course and finishing on the eighteenth.\nSwahili: Mashimo kumi na manane huchezwa wakati wa duru ya kawaida, na wachezaji kawaida huanzia shimo la kwanza kwenye uwanja na kumalizia kwenye shimo la kumi na nane.\nEnglish: The modern sport of fencing is played at many levels, from students learning at a university to professional and Olympic competition.\nSwahili: Mchezo wa kisasa wa kupigana kwa sime huchezwa kwa viwango vingi, toka wanafunzi wanaosoma katika chuo kikuu hadi mashindano ya kitaalamu na Olimpiki.\nPlease provide the translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Just after 11:00, protesters blocked traffic on the northbound carriage in Whitehall.\nSwahili:'}]	Muda mfupi baada ya saa 5, waandamanaji walizuia trafiki kwenye njia ya kuelekea kaskazini katika Whitehall.	
[{'role': 'user', 'content': 'This is an English to Swahili translation, please provide the Swahili translation for these sentences:\nEnglish: Wildlife photography often requires a long telephoto lens, though things like a flock of birds or a tiny creature need other lenses.\nSwahili: Mara nyingi upigaji picha za wanyamapori huhitaji lenzi ndefu, ingawa vitu kama kundi la ndege au kiumbe mdogo huhitaji lenzi nyingine.\nEnglish: Many tickets sold online through auction websites such as eBay or Craigslist are partially used multi-day park-hopper tickets.\nSwahili: Tiketi nyingi zinazouzwa mtandaoni kupitia tovuti za minada kama eBay au Craiglist ni zilizotumika kidogo za siku nyingi za kutembelea mbuga nyingi.\nEnglish: Over the centuries, people have carefully built terraces on the rugged, steep landscape right up to the cliffs that overlook the sea.\nSwahili: Kwa karne nyingi, watu walijenga matuta kwa umakini katika mandhari yenye mawemawe na mwinuko hadi kwenye majabali yaliyo juu ya bahari.\nPlease provide the translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: At 11:20, the police asked the protesters to move back on to the pavement, stating that they needed to balance the right to protest with the traffic building up.\nSwahili:'}]	Saa 11 dakika 20, polisi waliwataka waandamanaji warudi nyuma kando ya barabara, wakisema kwamba walihitaji kusawazisha haki ya kuandamana na msongamano wa magari.	Saa 11:20, polisi walitaka waandamanaji warejee kwenye lami, wakisema wanahitaji kusawazisha haki ya maandamano na msongamano wa trafiki.
[{'role': 'user', 'content': 'This is an English to Swahili translation, please provide the Swahili translation for these sentences:\nEnglish: Both golf and rugby are set to return to the Olympic Games.\nSwahili: Gofu na raga zote zimepangwa kurejea kwenye Michezo ya Olimpiki.\nEnglish: You should choose your Frequent Flyer airline in an alliance carefully.\nSwahili: Unafaa kuchagua kampuni ya Usafiri wa Mara Nyingi katika muungano kwa makini.\nEnglish: Lake Onega is also connected to Volga, so coming from the Caspian Sea through Russia is still possible.\nSwahili: Ziwa Onega limeunganishwa na Volga, kwa hivyo bado inawezekana kusafiri kutoka Bahari Caspian kupitia Urusi.\nPlease provide the translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Around 11:29, the protest moved up Whitehall, past Trafalgar Square, along the Strand, passing by Aldwych and up Kingsway towards Holborn where the Conservative Party were holding their Spring Forum in the Grand Connaught Rooms hotel.\nSwahili:'}]	Karibu 11:29, maandamano yalisonga juu katika Whitehall, kupita Trafalgar Square, kupitia Strand, kupita karibu na Aldwych na juu katika Kingsway kuelekea Holborn ambapo Chama cha Conservative kiliendesha Mkutano wa Majira ya Mchipuo kwenye hoteli ya Grand Connaught Rooms.	Karibu saa 11:29, maandamano yalikwenda juu ya Whitehall, kupitia Trafalgar Square, kando ya Strand, kupitia Aldwych na juu ya Kingsway kuelekea Holborn ambapo Chama cha Conservative walikuwa wanafanya Forumu yao ya Spring katika hoteli ya Grand Connaught Rooms.
