messages	label	predictions
[{'role': 'user', 'content': 'This is an English to Swahili translation, please provide the Swahili translation for this sentence:\nEnglish: Many governments require visitors entering, or residents leaving, their countries to be vaccinated for a range of diseases.\nSwahili: Serikali nyingi zinahitaji wageni wanaoingia, au wenyeji wanaoondoka kwenye nchi zao kuchanjwa dhidi ya magonjwa tofauti.\nPlease provide the translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: He joined them in 1945 and stayed until 1958.\nSwahili:'}]	Alijiunga nao mwaka wa 1945 na akakaa hadi mwaka wa 1958.	Alijiunga nao mwaka 1945 na alikaa hadi mwaka 1958.
[{'role': 'user', 'content': 'This is an English to Swahili translation, please provide the Swahili translation for this sentence:\nEnglish: This is the first time a conviction has been gained using the legislation enacted in 2003 to curb bulk e-mail, aka spam, from unsolicited distribution into users mailboxes.\nSwahili: Hii ndio mara ya kwanza hukumu imepatikana kwa kutumia sheria iliyopitishwa mwaka wa 2003 ili kupunguza barua-pepe nyingi yaani taka kutoka kwa wasambazaji wasioombwa hadi kwenye masanduku ya watumiaji.\nPlease provide the translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: The very long days in the summer can lead to problems getting sufficient sleep and associated health issues.\nSwahili:'}]	Siku ndefu sana katika msimu wa kiangazi zinaweza kupelekea shida za kupata usingizi wa kutosha na shida za kiafya zinazohusika.	Siku ndefu sana za kiangazi zinaweza kusababisha matatizo ya kupata usingizi wa kutosha na masuala ya afya yanayohusiana.
[{'role': 'user', 'content': 'This is an English to Swahili translation, please provide the Swahili translation for this sentence:\nEnglish: Its remnants produced showers across most of the islands, though as of yet, no damage or flooding has been reported.\nSwahili: Mabaki yake yalitoa rasharasha katika visiwa vingi, ingawa kufikia sasa, hakuna uharibifu au mafuriko yaliyoripotiwa.\nPlease provide the translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Typical for Norway are steep fjords and valleys that suddenly give way to a high, more or less even plateau.\nSwahili:'}]	Kawaida kwa Norwei kuwa na vilango-bahari vyenye miinuko mikali na mabonde ambayo ghafla hugeuka kuwa kilima kirefu tambarare ambacho ni bapa, kwa kadiri fulani.	Kawaida ya Norway ni milima mikali ya fjords na mabonde ambayo ghafla hutoa njia kwa uwiano wa juu, zaidi au chini.
[{'role': 'user', 'content': 'This is an English to Swahili translation, please provide the Swahili translation for this sentence:\nEnglish: Even the hottest of deserts can become extremely cold at night. Hypothermia is a real risk without warm clothing.\nSwahili: Hata jangwa lililo na joto zaidi linaweza likawa baridi sana usiku. Hipothemia ni hatari halisi bila mavazi ya joto.\nPlease provide the translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Local media reports an airport fire vehicle rolled over while responding.\nSwahili:'}]	Vyombo vya habari vya ndani vinaripoti kwamba gari la zimamoto la uwanja wa ndege lilibingirika wakati wa kuitikia.	Vyombo vya habari vya ndani vinaripoti gari la kuzima moto la uwanja wa ndege lilipinduka wakati wa kujibu.
[{'role': 'user', 'content': 'This is an English to Swahili translation, please provide the Swahili translation for this sentence:\nEnglish: In third, Hamlin is twenty points behind, but five ahead of Bowyer. Kahne and Truex, Jr. are fifth and sixth respectively with 2,220 and 2,207 points.\nSwahili: Akiwa wa tatu, Hamlin yuko nyuma kwa pointi ishirini, lakini tano mbele ya Bowyer. Kahne na Truex, mdogo, ni wa tano na sita mtawalia kwa alama 2,220 na 2,207.\nPlease provide the translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: 28-year-old Vidal had joined Barça three seasons ago, from Sevilla.\nSwahili:'}]	Vidal mwenye umri wa miaka 28 alikuwa amejiunga na Barca misimu mitatu iliyopita kutoka Sevilla.	Mwenye umri wa miaka 28, Vidal alijiunga na Barça miaka mitatu iliyopita, kutoka Sevilla.
"[{'role': 'user', 'content': ""This is an English to Swahili translation, please provide the Swahili translation for this sentence:\nEnglish: Vautier's achievements outside of directing include a hunger strike in 1973 against what he viewed as political censorship.\nSwahili: Mafanikio ya Vautier nje ya ukurugenzi ni pamoja na kususia chakula mnamo 1973 dhidi ya kile alichoona kama udhibiti wa kisiasa.\nPlease provide the translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Since moving to the Catalan-capital, Vidal had played 49 games for the club.\nSwahili:""}]"	Tangu kuhamia katika mji mkuu wa Catalan, Vidal alikuwa amechezea klabu yake michezo 49.	Tangu ahamie katika mji mkuu wa Catalonia, Vidal amecheza mechi 49 kwa klabu.
"[{'role': 'user', 'content': ""This is an English to Swahili translation, please provide the Swahili translation for this sentence:\nEnglish: Architecture is concerned with the design and construction of buildings. The architecture of a place is often a tourist attraction in its own right.\nSwahili: Majenzi yanahusika na ubunifu na ujenzi wa majengo. Mara nyingi majenzi ya mahali ni kivutio cha watalii kivyake.\nPlease provide the translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: The protest started around 11:00 local time (UTC+1) on Whitehall opposite the police-guarded entrance to Downing Street, the Prime Minister's official residence.\nSwahili:""}]"	Maandamano yalianza takriban saa 5 saa za ndani (UTC+1) katika Whitehall mkabala na mlango wa Mtaa wa Downing unaolindwa na polisi, Makao rasmi ya Waziri Mkuu.	Maandamano yalianza saa 11:00 za eneo (UTC+1) kwenye Whitehall dhidi ya kuingia kwa ulinzi wa polisi kwenye Downing Street, makazi rasmi ya Waziri Mkuu.
[{'role': 'user', 'content': 'This is an English to Swahili translation, please provide the Swahili translation for this sentence:\nEnglish: At the top end, B&Bs obviously compete mainly on two main things: bedding and breakfast.\nSwahili: Mwishowe, ni wazi kwamba B&amp;Bs hushindana haswa kwenye vitu viwili vikuu: matandiko na kiamsha kinywa.\nPlease provide the translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Just after 11:00, protesters blocked traffic on the northbound carriage in Whitehall.\nSwahili:'}]	Muda mfupi baada ya saa 5, waandamanaji walizuia trafiki kwenye njia ya kuelekea kaskazini katika Whitehall.	Muda mfupi baada ya saa 11:00, waandamanaji walizuia trafiki kwenye barabara ya kaskazini huko Whitehall.
"[{'role': 'user', 'content': 'This is an English to Swahili translation, please provide the Swahili translation for this sentence:\nEnglish: They also said in a statement, ""The crew is currently working to determine the best method of safely extracting the ship"".\nSwahili: Pia walisema katika taarifa, “Wafanyakazi sasa hivi wanafanya kazi kuamua mbinu bora ya kuondoa meli kwa usalama”.\nPlease provide the translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: At 11:20, the police asked the protesters to move back on to the pavement, stating that they needed to balance the right to protest with the traffic building up.\nSwahili:'}]"	Saa 11 dakika 20, polisi waliwataka waandamanaji warudi nyuma kando ya barabara, wakisema kwamba walihitaji kusawazisha haki ya kuandamana na msongamano wa magari.	Saa 11:20, polisi walitaka waandamanaji warejee kwenye lami, wakisema wanahitaji kusawazisha haki ya maandamano na msongamano wa trafiki.
[{'role': 'user', 'content': 'This is an English to Swahili translation, please provide the Swahili translation for this sentence:\nEnglish: The proposed amendment already passed both houses in 2011.\nSwahili: Marekebisho yaliyopendekezwa tayari yalipitia nyumba zote mbili mnamo 2011\nPlease provide the translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Around 11:29, the protest moved up Whitehall, past Trafalgar Square, along the Strand, passing by Aldwych and up Kingsway towards Holborn where the Conservative Party were holding their Spring Forum in the Grand Connaught Rooms hotel.\nSwahili:'}]	Karibu 11:29, maandamano yalisonga juu katika Whitehall, kupita Trafalgar Square, kupitia Strand, kupita karibu na Aldwych na juu katika Kingsway kuelekea Holborn ambapo Chama cha Conservative kiliendesha Mkutano wa Majira ya Mchipuo kwenye hoteli ya Grand Connaught Rooms.	Karibu saa 11:29, maandamano yalikwenda juu ya Whitehall, kupitia Trafalgar Square, kando ya Strand, kupitia Aldwych na juu ya Kingsway kuelekea Holborn ambapo Chama cha Conservative walikuwa wanafanya Mkutano wao wa Spring katika hoteli ya Grand Connaught Rooms.
