Lang	spBLEU100	spBLEU200	chrF2++	TER	SLR
ace_Arab	1.23	1.27	8.41	116.21	0.895
ace_Latn	4.05	4.98	19.82	98.72	0.755
acm_Arab	23.72	28.17	44.73	75.53	1.049
acq_Arab	26.31	30.93	47.46	71.55	1.056
aeb_Arab	19.93	24.23	40.99	78.8	1.105
afr_Latn	47.73	47.19	67.03	41.32	1.009
ajp_Arab	26.64	31.47	47.06	70.94	1.011
aka_Latn	2.59	3.17	13.31	100.22	0.565
als_Latn	33.78	33.63	56	56.22	1.058
amh_Ethi	3.86	3.52	10.03	108.77	1.061
apc_Arab	25.58	30.42	45.55	71.07	1.032
arb_Arab	33.21	37.6	53.79	62.91	1.062
arb_Latn	5.41	5.33	22.79	111.69	0.857
ars_Arab	31.63	35.9	52.43	65.22	1.072
ary_Arab	15.17	19.28	36.26	86.18	1.108
arz_Arab	22.01	26.25	42.32	78.36	1.06
asm_Beng	10.71	8.22	23.18	97.26	1.097
ast_Latn	32.61	31.34	53.83	55.75	1.009
awa_Deva	16.5	15.64	35.4	83.17	1.127
ayr_Latn	0.06	0.17	4.65	104.16	0.204
azb_Arab	3.16	3.51	17.91	103.4	0.917
azj_Latn	14.64	16.59	38.44	89.01	1.076
bak_Cyrl	8.28	5.46	20.08	108.05	0.959
bam_Latn	0.39	0.54	6.11	101.04	0.345
ban_Latn	10.04	10.91	30.73	87.22	1.001
bel_Cyrl	17.08	19.52	38.29	94.69	1.112
bem_Latn	1.24	1.56	10.28	104.11	0.454
ben_Beng	23.46	21.78	38.53	82.52	1.043
bho_Deva	12.2	11.88	29.71	88.97	1.203
bjn_Arab	2	1.96	10.43	107.4	0.872
bjn_Latn	9.82	10.96	35.92	82.43	1.189
bod_Tibt	0.63	0.25	12.69	184.19	2.291
bos_Latn	38.52	40.04	59.87	53.88	1.024
bug_Latn	4.27	5.16	23.26	97.38	1.206
bul_Cyrl	41.48	44.11	61.59	52.02	1.015
cat_Latn	47.89	47.76	65.38	43.14	1.025
ceb_Latn	29.12	27.99	51.03	56.21	0.97
ces_Latn	39.49	40.83	57.58	56.18	1.027
cjk_Latn	0.13	0.18	4.43	100.22	0.279
ckb_Arab	5.27	4.7	19.73	98.83	0.937
crh_Latn	5.2	5.95	27.81	98.1	1.234
cym_Latn	49.23	48.03	64.73	44.98	1.034
dan_Latn	51.64	52.28	69.65	40.44	1.022
deu_Latn	45.93	47.69	65.37	47.61	1.029
dik_Latn	0.18	0.19	4.63	101.49	0.244
dyu_Latn	0.21	0.49	4.49	105.79	0.335
dzo_Tibt	0.05	0.1	7.68	577.48	6.112
ell_Grek	32.8	35.77	51.63	61.35	1.055
epo_Latn	40.17	37.89	58.5	51.8	1.001
est_Latn	35.6	35.26	56.76	63.32	1.027
eus_Latn	20.5	19.09	44.18	85.68	1.041
ewe_Latn	0.37	0.6	6	107.2	0.345
fao_Latn	19.87	18.14	40.47	72.95	1.057
fij_Latn	5.9	5.5	22.94	88.2	0.637
fin_Latn	34.3	35.78	56.25	63.27	1.028
fon_Latn	0.24	0.24	3.86	111.13	0.355
fra_Latn	55.6	56.38	71.12	38	1.023
fur_Latn	19.57	18.5	40.65	71.91	0.991
fuv_Latn	0.95	1.17	8.49	102.66	0.505
gaz_Latn	0.5	0.59	7.95	104.08	0.487
gla_Latn	18.94	15.48	38.92	79.57	0.999
gle_Latn	29.74	25.81	47.14	70.96	1.024
glg_Latn	40.1	39.4	61.28	49.19	1.038
grn_Latn	0.31	0.74	6.33	102.15	0.29
guj_Gujr	22.05	18.9	37.41	83.85	1.042
hat_Latn	27.08	24.51	47.02	64.27	0.994
hau_Latn	5.98	6.21	22.2	91.06	0.738
heb_Hebr	33.11	35.34	51.17	62.84	1.02
hin_Deva	31.26	29.25	48.71	64.14	1.034
hne_Deva	14.91	14.07	34.02	85.58	1.172
hrv_Latn	36.15	37.82	57.03	57.25	1.008
hun_Latn	32.62	34.76	54.64	63.89	1.027
hye_Armn	13.97	14.31	33.19	93.14	1.084
ibo_Latn	3.24	3.16	14.73	98.9	0.604
ilo_Latn	10.96	11.41	33.58	81.89	0.897
ind_Latn	48.49	48.75	68.51	38.93	1.011
isl_Latn	25.54	25.99	44.82	69.66	1.007
ita_Latn	36.91	37.58	59.41	57.72	1.06
jav_Latn	16.97	16.86	41.17	72.97	1.075
jpn_Jpan	34.14	30.49	33.09	104.9	1.029
kab_Latn	1.4	1.26	11.94	97.79	0.589
kac_Latn	0.03	0.03	2.94	103.97	0.194
kam_Latn	1.16	1.26	8.88	99.42	0.473
kan_Knda	19.69	18.62	37.89	89.79	1.07
kas_Arab	3.51	3.99	15.51	100.24	1.189
kas_Deva	2.65	2.31	12.91	110.34	1.307
kat_Geor	13.55	15.25	32.53	97.37	1.044
kaz_Cyrl	12.96	12.87	33.88	90.93	1.037
kbp_Latn	0.42	0.38	3.99	105.45	0.465
kea_Latn	12.73	13.02	37.56	76.78	1.115
khk_Cyrl	6.94	7.98	26.07	101.28	1.039
khm_Khmr	5.8	5.68	21.51	225.98	1.153
kik_Latn	0.99	0.76	8.83	107	0.437
kin_Latn	4.06	3.38	18.66	100.08	0.673
kir_Cyrl	8.85	8.44	25.78	101.2	0.962
kmb_Latn	0.36	0.39	4.93	100.48	0.343
kmr_Latn	9.07	8.29	25.3	90.26	0.813
knc_Arab	0.46	0.51	5.26	107.51	1.429
knc_Latn	2.17	2.61	13.38	100.91	0.935
kon_Latn	0.74	0.94	8.5	102.6	0.405
kor_Hang	27.7	25.62	34.43	78	1.046
lao_Laoo	3.64	2.9	18.46	189.28	0.828
lij_Latn	6.99	7.56	32.8	91.76	1.239
lim_Latn	14.79	15.08	40.2	75.11	1.056
lin_Latn	2.22	2.59	14.78	95.28	0.51
lit_Latn	30.2	30.04	51.54	66.43	1.01
lmo_Latn	6.66	6.74	29.92	93.59	1.197
ltg_Latn	5.17	5.34	29.23	90.97	1.287
ltz_Latn	27.75	25.39	48.74	68.67	1.053
lua_Latn	0.74	0.97	8.08	101.54	0.41
lug_Latn	1.22	1.64	11.63	98.92	0.442
luo_Latn	0.63	0.75	7.05	103.36	0.38
lus_Latn	3.65	4.59	17.61	98.84	0.552
lvs_Latn	33.64	32.99	55.13	63.11	1.04
mag_Deva	19.08	18.56	39.08	76.51	1.167
mai_Deva	10.39	10.23	28.94	99.76	1.306
mal_Mlym	14.52	14.59	32.26	98.86	1.062
mar_Deva	15.71	14.53	34.33	89.58	1.005
min_Arab	1.63	1.56	10.06	110.39	0.973
min_Latn	10.73	11.51	36.99	82.22	1.235
mkd_Cyrl	35.7	36.05	57.03	54.93	1.033
mlt_Latn	36.19	29.88	49.39	66.39	1.008
mni_Beng	1.56	1.8	11.43	107.01	1.8
mos_Latn	0.09	0.17	3.92	100.43	0.246
mri_Latn	17.98	15.06	34.82	75.74	0.844
mya_Mymr	2.76	2.1	19.81	165.17	1.197
nld_Latn	34.93	36.27	56.54	61.2	1.003
nno_Latn	36.52	37.13	58.71	53.32	1.049
nob_Latn	39.47	40.18	60.5	52.59	1.022
npi_Deva	20.04	18.98	39.53	82.1	1.015
nso_Latn	3.24	3.69	16.7	92.99	0.554
nus_Latn	0.13	0.14	3.02	102.07	0.322
nya_Latn	4.85	4.88	20.55	94.04	0.665
oci_Latn	30.89	30.36	55.08	56.37	1.093
ory_Orya	14.8	11.62	27.51	99.84	0.965
pag_Latn	5.37	5.71	22.61	91.15	0.654
pan_Guru	23.9	20.97	37.43	78.65	1.057
pap_Latn	26.52	25.42	51.62	57.09	1.094
pbt_Arab	4.87	5.09	19.7	95.05	0.926
pes_Arab	28.84	29.44	48.58	63.49	1.03
plt_Latn	8.7	8.23	31.45	87.76	0.937
pol_Latn	29.35	32.08	49.72	69.14	1.022
por_Latn	55.45	56.42	71.4	35.77	1.012
prs_Arab	25.19	25.74	44.82	68.03	1.021
quy_Latn	0.49	0.69	9.32	110.54	0.345
ron_Latn	44.44	46.25	63.99	48.12	1.04
run_Latn	3.06	3.06	16.56	103.47	0.647
rus_Cyrl	35.76	38.85	56.59	60.51	1.045
sag_Latn	0.11	0.11	4.59	100.81	0.244
san_Deva	6.23	4.72	21.83	109.44	1.089
sat_Olck	0	0.01	0.18	102.48	0.165
scn_Latn	11.5	11.21	35.94	80.14	1.109
shn_Mymr	0.35	0.52	7.57	200.61	2.212
sin_Sinh	5.16	6.14	19.53	118.97	1.147
slk_Latn	38.18	38.62	56.82	58.62	1.027
slv_Latn	35.29	35.67	55.54	61.08	1.016
smo_Latn	6.84	6.27	22.77	84.55	0.619
sna_Latn	2.77	3.16	15.3	102.76	0.567
snd_Arab	10.36	9.11	22.54	95.73	0.867
som_Latn	7.84	8.07	29.44	91.42	1.005
sot_Latn	4.62	5.71	20.67	92.85	0.716
spa_Latn	33.18	33.76	56.55	59.47	1.068
srd_Latn	16.92	16.31	42.11	71.71	1.087
srp_Cyrl	37.5	37.49	56.51	56.36	1.036
ssw_Latn	1.31	1.9	10.63	100.23	0.441
sun_Latn	13.67	13.9	39	78.62	1.068
swe_Latn	50.79	52.47	68.47	39.48	1.012
swh_Latn	38.99	37.98	60.13	50.22	1.026
szl_Latn	9.89	12.77	35.5	82.62	1.27
tam_Taml	13.34	13.61	33.77	95.33	1.033
taq_Latn	0.7	0.82	8.18	101.9	0.443
taq_Tfng	1.53	0.62	5.23	105.62	0.921
tat_Cyrl	9.39	6.72	21.53	105.96	0.889
tel_Telu	18.44	17.45	34.43	88.72	1.008
tgk_Cyrl	14.48	10.79	29.3	91.25	0.956
tgl_Latn	36.53	35.02	60.82	50.61	1.081
tha_Thai	23.08	33.49	43.14	105.12	1.095
tir_Ethi	1.83	1.65	5.82	113.85	1.038
tpi_Latn	16.96	13.99	37.07	88.4	1.019
tsn_Latn	3.27	3.84	16.99	95.09	0.586
tso_Latn	2.57	2.77	15.02	96.57	0.543
tuk_Latn	8.62	6.17	25.2	100.61	1.122
tum_Latn	2.67	3.6	16.47	108.03	0.795
tur_Latn	37.39	38.53	57.89	61.1	1.04
twi_Latn	2.48	2.97	13.38	98.71	0.502
tzm_Tfng	2.89	1.08	8.33	100.53	0.72
uig_Arab	14.79	6.49	20.53	104.47	0.976
ukr_Cyrl	36.07	37.37	55.03	60.71	1.023
umb_Latn	0.37	0.36	5.31	99.78	0.366
urd_Arab	21.54	21.93	41.72	72.88	1.049
uzn_Latn	20.54	17.45	39.85	86.39	1.036
vec_Latn	15.17	15.68	40.98	70.66	1.053
vie_Latn	40.36	40.68	58.54	46.89	1.023
war_Latn	25.21	24.26	49.27	61.09	0.995
wol_Latn	1.47	2.15	10.58	108.17	0.493
xho_Latn	5.4	5.33	21.92	98.37	0.791
ydd_Hebr	17.43	10.55	30.97	81.38	0.837
yor_Latn	2.79	2.51	11.41	99.02	0.794
yue_Hant	23.37	26.35	22.3	144.68	1.011
zho_Hans	32.4	36.33	31.03	193.46	1.09
zho_Hant	25.74	29.3	24.82	174.25	1.058
zsm_Latn	41.15	41.4	64.46	43.53	1.012
zul_Latn	7.25	6.73	25.22	96.4	0.864
